ID#,Country,SERIES          SH,SHOT,YEAR,MON,DAY,SITE,LAT,LONG,HOB,YD-MN,YIELD,DATE,MON_NUM,HOB_ft
135,USSR,1961,Tsar Bomba,1961,OCT,30,NZ-MB,73.8,53.5,3500,50000,50000,10/30/1961,10,1067
226,USSR,1962,,1962,DEC,24,NZ-MB?,73.6,57.5,3750,24200,24200,12/24/1962,12,1143
152,USSR,1962,,1962,AUG,5,NZ-MB?,74.2,52.5,3600,21100,21100,8/5/1962,8,1098
181,USSR,1962,,1962,SEP,27,NZ-MB,74.3,52.4,3900,10000,20000,9/27/1962,9,1189
180,USSR,1962,,1962,SEP,25,NZ-MB?,73.7,55,4090,19100,19100,9/25/1962,9,1247
128,USSR,1961,,1961,OCT,23,NZ-MB,73.9,53.8,3500,12500,12500,10/23/1961,10,1067
175,USSR,1962,,1962,SEP,19,NZ-MB?,73.8,53.8,3280,1500,10000,9/19/1962,9,1000
293,USA,Dominic I,Housatonic,1962,OCT,30,JO,13.5,-172,3700,8300,8300,10/30/1962,10,1128
191,USSR,1962,,1962,OCT,22,NZ-MB?,73.4,54.9,3230,8200,8200,10/22/1962,10,985
260,USA,Dominic I,Bighorn,1962,JUN,27,LI-CH,1.3,-157.3,3600,7650,7650,6/27/1962,6,1098
269,USA,Dominic I,Pamlico,1962,JUL,11,LI-CH,1.4,-157.3,4370,3880,3880,7/11/1962,7,1332
155,USA,Newsreel,Orange,1958,AUG,12,JO,16.3583,-169.5356,43000,3800,3800,8/12/1958,8,13110
153,USA,Newsreel,Teak,1958,AUG,1,JO,16.7439,-169.5333,76800,3800,3800,8/1/1958,8,23415
286,USA,Dominic I,Chama,1962,OCT,18,JO,14,-169,3650,1590,1590,10/18/1962,10,1113
267,USA,Fishbowl,Starfish Prime,1962,JUL,9,JO,17.2,-169.1,399000,1400,1400,7/9/1962,7,121646
253,USA,Dominic I,Harlem,1962,JUN,12,LI-CH,1.5,-157.2,4160,1200,1200,6/12/1962,6,1268
292,USA,Dominic I,Calamity,1962,OCT,27,JO,15,-169,3590,800,800,10/27/1962,10,1095
233,USA,Dominic I,Frigate Bird,1962,MAY,6,null,4.8333,-149.4167,3350,200,600,5/6/1962,5,1021
290,USA,Fishbowl,Bluegill 3 Prime,1962,OCT,26,JO,16.9,-169.2,48200,200,400,10/26/1962,10,14695
294,USA,Fishbowl,Kingfish,1962,NOV,1,JO,16.6,-169.4,96300,200,400,11/1/1962,11,29360
201,USSR,K Project,K5,1962,NOV,1,MTR,49,46,59000,300,300,11/1/1962,11,17988
194,USSR,K Project,K4,1962,OCT,28,MTR,49,46,150000,300,300,10/28/1962,10,45732
190,USSR,K Project,K3,1962,OCT,22,MTR,49,46,290000,300,300,10/22/1962,10,88415
281,USA,Dominic I,Androscoggin,1962,OCT,2,JO,14,-172,3130,75,75,10/2/1962,10,954
204,USSR,1962,,1962,NOV,3,NZ,73,55,4000,45,45,11/3/1962,11,1220
120,USSR,1961,,1961,OCT,6,MTR,48.45,44.3,41300,40,40,10/6/1961,10,12591
283,USA,Dominic I,Bumping,1962,OCT,6,JO,15,-169,3050,11.3,11.9,10/6/1962,10,930
93,USSR,1961,,1961,SEP,6,MTR,48.45,44.3,22700,11,10.5,9/6/1961,9,6921
37,USSR,1957,,1957,JAN,19,MTR,49,46,10370,10,10,1/19/1957,1,3162
88,USSR,1958,,1958,NOV,3,MTR,49,46,12000,10,10,11/3/1958,11,3659
87,USSR,1958,,1958,NOV,1,MTR,49,46,12000,10,10,11/1/1958,11,3659
61,USA,Teapot,HA (High Altitude),1955,APR,6,NTS-YF,37.0286,-116.0578,11160,3,3,4/6/1955,4,3402
257,USA,Dominic I,Petit,1962,JUN,19,LI-CH,1.6,-157.3,4570,2.2,2.2,6/19/1962,6,1393
97,USA,Plumbbob,John,1957,JUL,19,NTS-YF,37.1606,-116.0531,9140,2,2,7/19/1957,7,2787
122,USA,Hardtack I,Yucca,1958,APR,28,null,12.6167,168.025,26210,1.7,1.7,4/28/1958,4,7991
157,USA,Argus,Argus I,1958,AUG,27,null,-38.5,-11.5,200000,1,1.5,8/27/1958,8,60976
158,USA,Argus,Argus II,1958,AUG,30,null,-49.5,-8.2,240000,1,1.5,8/30/1958,8,73171
159,USA,Argus,Argus III,1958,SEP,6,null,-48.5,-9.7,540000,1,1.5,9/6/1958,9,164634
132,USSR,K Project,K2,1961,OCT,27,MTR,49,46,150000,1.2,1.2,10/27/1961,10,45732
133,USSR,K Project,K1,1961,OCT,27,MTR,49,46,300000,1.2,1.2,10/27/1961,10,91463
0,0,0,0,1961,0,0,0,0,0,-3000,0,0,0,0,0